prop_id,amenity
ChIJ1-cKABQIXZQR0803miP1_V8,Desayuno incluido disponible
ChIJ1-cKABQIXZQR0803miP1_V8,Wi-Fi gratis disponible
ChIJ1-cKABQIXZQR0803miP1_V8,Desayuno disponible
ChIJ1-cKABQIXZQR0803miP1_V8,Wi-Fi disponible
ChIJA8NANP8JXZQRpunAZ1a1wCw,Estacionamiento gratuito disponible
ChIJA8NANP8JXZQRpunAZ1a1wCw,Desayuno incluido disponible
ChIJA8NANP8JXZQRpunAZ1a1wCw,Wi-Fi gratis disponible
ChIJA8NANP8JXZQRpunAZ1a1wCw,Aire acondicionado disponible
ChIJhZPZYSAIXZQRauKCYSKxkSM,Estacionamiento gratuito disponible
ChIJhZPZYSAIXZQRauKCYSKxkSM,Desayuno incluido disponible
