latitude,longitude,keyword
-25.37313,-57.6439,Farmacia
-25.37313,-57.6439,Shopping
-25.37313,-57.6439,Consultorio
-25.37313,-57.6439,Store
-25.37313,-57.6439,Tienda
-25.37313,-57.6439,Restaurante
-25.37313,-57.6439,Universidad
-25.37313,-57.6439,Galeria Comercial
-25.37313,-57.6439,Centro Medico
-25.37313,-57.6439,Hotel
-25.37313,-57.6439,Clinica
-25.37313,-57.6439,Supermercado
-25.37313,-57.6439,Concesionario
-25.37313,-57.6439,Mercado
-25.37313,-57.6439,Hospital
-25.37313,-57.6439,Centro Comercial
-25.36592,-57.64368,Hotel
-25.36592,-57.64368,Centro Comercial
-25.36592,-57.64368,Mercado
-25.36592,-57.64368,Concesionario
-25.36592,-57.64368,Supermercado
-25.36592,-57.64368,Clinica
-25.36592,-57.64368,Centro Medico
-25.36592,-57.64368,Universidad
-25.36592,-57.64368,Restaurante
-25.36592,-57.64368,Galeria Comercial
-25.36592,-57.64368,Tienda
-25.36592,-57.64368,Store
-25.36592,-57.64368,Consultorio
-25.36592,-57.64368,Shopping
-25.36592,-57.64368,Farmacia
-25.36592,-57.64368,Hospital
-25.35872,-57.64347,Tienda
-25.35872,-57.64347,Galeria Comercial
-25.35872,-57.64347,Restaurante
-25.35872,-57.64347,Universidad
-25.35872,-57.64347,Hospital
-25.35872,-57.64347,Centro Medico
-25.35872,-57.64347,Concesionario
-25.35872,-57.64347,Clinica
-25.35872,-57.64347,Supermercado
-25.35872,-57.64347,Mercado
-25.35872,-57.64347,Centro Comercial
-25.35872,-57.64347,Shopping
-25.35872,-57.64347,Hotel
-25.35872,-57.64347,Store
-25.35872,-57.64347,Consultorio
-25.35872,-57.64347,Farmacia
-25.35852,-57.65141,Mercado
-25.35852,-57.65141,Farmacia
-25.35852,-57.65141,Shopping
-25.35852,-57.65141,Consultorio
-25.35852,-57.65141,Centro Comercial
-25.35852,-57.65141,Tienda
-25.35852,-57.65141,Galeria Comercial
-25.35852,-57.65141,Store
-25.35852,-57.65141,Universidad
-25.35852,-57.65141,Hospital
-25.35852,-57.65141,Centro Medico
-25.35852,-57.65141,Hotel
-25.35852,-57.65141,Clinica
-25.35852,-57.65141,Supermercado
-25.35852,-57.65141,Concesionario
-25.35852,-57.65141,Restaurante
-25.35832,-57.65936,Centro Comercial
-25.35832,-57.65936,Mercado
-25.35832,-57.65936,Concesionario
-25.35832,-57.65936,Supermercado
-25.35832,-57.65936,Clinica
-25.35832,-57.65936,Hotel
-25.35832,-57.65936,Centro Medico
-25.35832,-57.65936,Universidad
-25.35832,-57.65936,Restaurante
-25.35832,-57.65936,Hospital
-25.35832,-57.65936,Shopping
-25.35832,-57.65936,Consultorio
-25.35832,-57.65936,Farmacia
-25.35832,-57.65936,Tienda
-25.35832,-57.65936,Galeria Comercial
-25.35832,-57.65936,Store
